#separator:tab
#html:false
姜	goeng 1 A surname
於	jyu 1 (indicates time or place) in; at; on
寫	se 2 to write (with a pen, brush, etc.); to write down
意	ji 3 thought; idea; opinion; mind
迴	wui 4 to revolve; to rotate
腸	coeng 4 (figuratively) heart; emotions
盪	dong 6 to cleanse; to wash away
姓	sing 3 surname; family name; clan name
氏	si 6 clan; family; lineage; hereditary house
成	sing 4 to finish; to complete
故	gu 3 old; of the past
此	ci 2 (literary) this
憂	jau 1 grief; melancholy
求	kau 4 to beg; to request; to implore
淡	daam 6 indifferent; cold
經	ging 1 to go through; to experience
謂	wai 6 to say; to tell; to call
閒	haan 4 not busy; idle
話	waa 6 speech;talk
細	sai 3 (literary, Cantonese, Hakka, Min) small; tiny; little
盡	zeon 6 to end; to finish
昏	fan 1 dusk; nightfall; twilight; dark
髮	faat 3 (anatomy) hair
亦	jik 6 also; too; likewise
得	dak 1 to get; to obtain; to gain, to acquire
青	cing 1 young; adolescent
信	seon 3 trust; confidence; faith
荒	fong 1 wasteland, desert
合	hap 6 to join; to combine; to unite; to bring together
老	lou 5 old; aged; elderly
竟	ging 2 finally, after all, at last
擁	jung 2 to embrace; to hug someone
怎	zam 2 how; why
童	tung 4 child
對	deoi 3 pair
邊	bin 1 edge; border; side
抱	pou 5 to hug; to embrace
怨	jyun 3 to resent; to hate
累	leoi 5 to pile up; to heap up; to mount up; to accumulate
束	cuk 1 to bind; to tie up
縛	bok 3 to tie, to bind
熟	suk 6 (of fruits, etc.) ripe
負	fu 6 to carry (on the back); to bear (a burden or responsibility)
淚	leoi 6 tear; teardrop
犧	hei 1 sacrifice
牲	saang 1 sacrificial animal
挽	waan 5 to pull back, to draw back
救	gau 3 to aid; to support
餘	jyu 4 to remain; to have left
爭	zaang 1 to dispute; to fight
取	ceoi 2 to get; to obtain
資	zi 1 money; fund; wealth; capital
格	gaak 3 (literary, or in compounds) special property; personality; character
獻	hin 3 to offer, to present
奉	fung 6 to offer (tribute)
纏	cin 4 to wind; to tie; to bind
允	wan 5 fair; just; equitable; even-handed; impartial
受	sau 6 to bear; to stand
困	kwan 3 to surround; to besiege
虧	kwai 1 to lose; to suffer losses
欠	him 3 to owe
釋	sik 1 to explain; to elucidate
須	seoi 1 must; have to; should
佔	zim 3 to occupy; to possess
霎	saap 3 instant; moment
堂	tong 4 class; lesson
駕	gaa 3 to drive; to sail; to fly
至	zi 3 to reach; to arrive
撞	zong 6 to hit; to bump against; to strike; to run into; to collide
悄	ciu 2 quiet; silent
落	lok 6 to fall; to drop
久	gau 2 (of time) long
爾	ji 5 (literary) this; that
旁	pong 4 side; beside; close by
聖	sing 3 holy; sacred
誕	daan 3 birth; birthday
思	si 1 to think; to cogitate
鄉	hoeng 1 countryside; country; rural area
鴛	jyun 1 male mandarin duck
鴦	joeng 1 female mandarin duck
像	zoeng 6 to resemble; to be like
閉	bai 3 to shut; to close
睛	zing 1 eyeball
稀	hei 1 sparse
薄	bok 6 thin (not thick); flimsy
則	zak 1 Classifier for news, writings, stories, or narratives: item
聞	man 4 news; message
皺	zau 3 wrinkle; crease; fold
眉	mei 4 eyebrow
遙	jiu 4 distant; far away
期	kei 4 to arrange a time; to engage; to arrange to meet
窗	coeng 1 window
墨	mak 6 Chinese ink or ink in general
適	sik 1 fitting; proper; suitable; appropriate
季	gwai 3 season of the year
慣	gwaan 3 to be accustomed to; to be used to
備	bei 6 to prepare
周	zau 1 week
搬	bun 1 to move (house)
景	ging 2 bright; luminous
觀	gun 1 sight; view; perspective
隨	ceoi 4 to follow
飄	piu 1 to drift
蕩	dong 6 to sway; to swing
端	dyun 1 beginning; start
疑	ji 4 to doubt; to question
遷	cin 1 to ascend; to go up (to)
唸	nim 6 to read aloud
借	ze 3 to lend
故	gu 3 old; of the past
親	can 1 intimate; bosom; closely acquainted; beloved; dear
臉	lim 5 (anatomy) face
溺	nik 6 to drown
氛	fan 1 atmosphere; miasma; vapor
追	zeoi 1 to chase after; to pursue (someone)
打	daa 2 to hit; to strike; to slap
煙	jin 1 smoke; mist; vapour
音	jam 1 sound; voice; tone
陽	joeng 4 sun
黃	wong 4 yellow (colour)
奮	fan 5 to arouse; to stimulate
望	mong 6 to see; to watch (especially from a distance)
遼	liu 4 distant; far
闊	fut 3 broad; wide
放	fong 3 to release; to free; to liberate; to let out; to let go
負	fu 6 load, burden, to rely on
君	gwan 1 sovereign; monarch; ruler; chief; prince; lord
盼	paan 3 to hope for; to long for; to expect; to look forward to
伴	bun 6 to accompany
享	hoeng 2 to enjoy
審	sam 2 to examine; to investigate
慎	san 6 prudent; cautious; careful
夜	je 6 night
靜	zing 6 quiet; silent; devoid of noise
神	san 6 spirit; soul; mind
輕	hing 1 easy; simple; relaxed
鬆	sung 1 to loosen; to relax
繁	faan 4 complicated
囂	hiu 1 loud; noisy
市	si 5 city; town
空	hung 1 empty; hollow; void
泛	faan 3 superficial; non-specific
迷	mai 4 to get lost
擔	daam 3 to bear; to shoulder; to undertake
習	zaap 6 habit; custom
慣	gwaan 3 to be accustomed to; to be used to
晏	aan 3 late; near the end of a period of time
晝	zau 3 daytime; day; daylight
掩	jim 2 to cover; to conceal; to hide
蓋	koi 3 to cover; to conceal
瓦	ngaa 5 earthenware; earthenware pottery
礫	lik 1 gravel; pebbles; potsherds
偏	pin 1 inclined on one side; slanting; askew
依	ji 1 to rely on; to depend on
靈	ling 4 soul; spirit
撕	si 1 to shred; to tear
塵	can 4 dust; dirt; ashes; cinders
埃	oi 1 fine dust, dirt
遺	wai 4 to lose; to lose track of
蕩	dong 6 to sway; to swing
淃	gyun 6 haven
暗	am 3 dark (without light); dim
聚	zeoi 6 to congregate
散	saan 2 to become loose; to break apart; to fall apart
教	gaau 3 to teach; to instruct
導	dou 6 to direct; to guide; to lead; to conduct
鋪	pou 1 to spread out; to arrange
泳	wing 6 to swim
兒	ji 4 child
忐	taan 2 perturbed; nervous; uneasy; fidgety
忑	tik 1 perturbed; nervous; uneasy; fidgety
嘴	zeoi 2 (anatomy) mouth
須	seoi 1 must; have to; should
遊	jau 4 to travel; to tour
歷	lik 6 to experience; to go through; to undergo
冒	mou 6 to risk; to brave; to face
險	him 2 danger; hazard; peril; risk
烙	lok 3 to brand; to mark on livestock with hot metallic object
臨	lam 4 to be faced with; to be confronted by
趣	ceoi 3 interest; delight
禱	tou 2 to pray
般	bun 1 sort; kind; class
偕	gaai 1 to accompany; together; in company
換	wun 6 to change; to swap; to switch; to substitute
患	waan 6 to contract (an illness); to gain; to suffer from; to be afflicted with
病	beng 6 illness; sickness; disease
偏	pin 1 partial; biased; prejudiced; unjust
熱	jit 6 hot; heated; having a high temperature
淚	leoi 6 tear; teardrop
賦	fu 3 to bestow upon; to give
興	hing 1 to thrive; to prosper; to flourish
與	jyu 5 to agree; to allow; to permit
更	gang 3 more; further; even more
便	bin 6 even if; even though
哭	huk 1 to weep; to cry; to wail
若	joek 6 like; as if
滄	cong 1 (literary) vast (of water)
桑	song 1 mulberry tree
史	si 1 history
怕	paa 3 to fear; to be afraid of
根	gan 1 base; basis; foundation
撫	fu 2 to console; to comfort
摸	mo 2 to touch; to feel (with the hand); to caress
刺	ci 3 a pointed structure which is able to pierce something (spike, spine, thorn, etc.)
灼	coek 3 to burn
極	gik 6 extreme; of the highest degree; utmost; furthest; final
致	zi 3 to cause; to result in
難	naan 4 difficult; hard; troublesome
真	zan 1 true; genuine; real; actual
總	zung 2 overall; altogether
將	zoeng 1 will; going to
瑣	so 2 petty; trivial; insignificant
堅	gin 1 resolute
持	ci 4 to sustain; to support
智	zi 3 wisdom; knowledge; intelligence
結	git 3 to end; to finish
束	cuk 1 end
始	ci 2 to begin; to start
許	heoi 2 to allow; to permit
鍾	zung 1 to concentrate one's love or attention
害	hoi 6 to harm; to maim; to injure
諷	fung 3 to satirise; to mock; to ridicule
愉	jyu 4 happy; pleased; delightful
釋	sik 1 to release
懷	waai 4 to harbor in one's mind; to keep in mind
覆	fuk 1 to return
捱	ngaai 4 to suffer
涯	ngaai 4 limit; boundary; margin
首	sau 2 (anatomy) head
罷	baa 6 to cease; to finish; to stop
憾	ham6 regret
單	daan 1 single; individual; solitary
身	san 1 (anatomy) body
加	gaa 1 to add; to put in
否	fau 2 nay; no; negative
精	zing 1 clear; bright
彩	coi 2 variegated colors; rich and bright colors
續	zuk 6 to continue; to carry on
複	fuk 1 to repeat; to double; to overlap
識	sik 1 to know; to realise; to be aware
竟	ging 2 to finish; to end
已	ji 5 already; have done something
先	sin 1 first; ahead of time; before; beforehand
鼓	gu 2 (music) drum
捨	se 2 to abandon
勇	jung 5 brave
放	fong 3 to release; to free; to liberate; to let out; to let go
志	zi 3 will; determination; aspiration; ambition
找	zaau 2 to look for; to seek
順	seon 6 to follow; to go along with
序	zeoi 6 order; sequence
遇	jyu 6 to meet; to come across; to encounter
漫	maan 4 free, casual, unrestrained; impromptu
步	bou 6 to walk; to stroll
從	cung 4 to follow; to come after
容	jung 4 to allow; to permit
算	syun 3 to count; to calculate; to figure
記	gei 3 to keep in mind; remember
媲	bei 2 to compare
麻	maa 4 numb; senseless
純	seon 4 pure, clean, simple
熟	suk 6 familiar with; well-acquainted with
派	paai 3 to hand out; to distribute
凝	jing 4 to focus; to concentrate
伴	bun 6 companion
臉	lim 5 (anatomy) face
奏	zau 3 (literary, or in compounds) beat; meter; rhythm
搖	jiu 4 to wag; to swing; to wave
盪	dong 6 to toss; to swing; to rock
寂	zik 6 still; silent; quiet
寞	mok 6 lonely; desolate
散	saan 2 natural and restrained; at ease
丁	ding 1 robust; vigorous
寡	gwaa 2 alone; friendless
拆	caak 3 to take apart; to dismantle
交	gaau 1 to hand over; to turn in; to submit
結	git 3 knot; tie
網	mong 5 net; web
佔	zim 3 to occupy; to possess
朗	long 5 clear; bright
泥	nai 4 dirt
數	sou 2 to count; to enumerate
腳	goek 3 (anatomy) foot
印	jan 3 trace; mark; sign
現	jin 6 to appear; to manifest; to become visible
裂	lit 6 to crack; to break open
痕	han 4 mark; trace
修	sau 1 to repair; to mend
補	bou 2 to mend; to repair; to fix
嵌	ham 6 to embed; to imbed; to fix deeply and firmly
聲	sing 1 sound; noise; voice
音	jam 1 sound; voice; tone
軟	jyun 5 soft; flexible; pliable
禁	gam 1 to bear; to endure
興	hing 1 to thrive; to prosper; to flourish
沉	cam 4 to sink; to submerge (into water)
默	mak 6 to be silent; to keep quiet; to keep still
呼	fu 1 to breathe out; to exhale; to sigh
訪	fong 2 to visit
俯	fu 2 to look from above; to overlook; to look down
瞰	ham 3 to overlook (a city, surroundings, etc.); to look down at; to get a bird's-eye view
顆	fo 2 Classifier for small round objects
幽	jau 1 hidden; concealed
嶺	ling 5 mountain ridge
乾	gon 1 dry; moistureless; waterless; arid
罐	gun 3 can; jar; tin
汽	hei 3 steam, vapor, gas
息	sik 1 to breathe; to pant
懶	laan 5 lazy; indolent; slothful
沿	jyun 4 to follow a course, go along
亮	loeng 6 bright; brilliant; radiant
街	gaai 1 street
燈	dang 1 lamp; light; lantern (for illumination)
撫	fu 2 to stroke; to caress
綻	zaan 6 to burst open, to split
冀	kei 3 to look forward to; to hope for; to wish
浮	fau 4 to float
雲	wan 4 cloud
幻	waan 6 mystical; mysterious
變	bin 3 to change (by itself); to transform
案	on 3 law case; case
領	ling 5 to lead; to guide
雪	syut 3 snow
觀	gun 1 to observe; to watch; to view; to see
泡	paau 1 bubble
影	ying 2 shadow
共	gung 6 together
鳴	ming 4 to cry (of birds, animals and insects)
種	zung 2 kind; sort; type
謙	him 1 humble
創	cong 3 to found; to create; to establish
種	zung 3 to grow; to plant; to cultivate
組	zou 2 group; team
鐵	tit 3 iron
宿	sau 3 constellation
土	tou 2 earth; soil
勁	ging 6 powerful; strong
吸	kap 1 to suck (in)
逐	zuk 6 to chase; to pursue
速	cuk 1 speedy; quick; fast
確	kok 3 real; true
候	hau 6 to wait for; to await
耳	ji 5 ear
緲	miu 5 fleeting
甘	gam 1 to be willing to
掌	zoeng 2 palm of hand
遍	pin 3 Classifier for occurrences of events.
斗	dau 2 A dipper or cup-like object
任	jam 6 to indulge; to be self-indulgent; to allow
揮	fai 1 to squander
罷	baa 6 to cease; to finish; to stop
咎	gau 3 fault; defect; error; mistake
料	liu 6 to anticipate; to predict; to foresee; to expect
恆	hang 4 constant; regular; persistent
毋	mou 4 do not, don't
庸	jung 4 to need
浮	fau 4 to float
掠	loek 6 to sweep through
漩	syun 4 eddy, whirlpool
渦	wo 4 whirlpool; eddy; vortex
剎	saat 3 brief moment; short moment
泛	faan 3 to spread out; to be suffused with
遺	wai 4 to forget; to fail to remember
憾	ham 6 to regret; to pity
曉	hiu 2 dawn; daybreak
釋	sik 1 to release
謙	him 1 humble; modest
逆	jik 6 opposite
超	ciu 1 super-; hyper-; ultra-
撥	but 6 to distribute; to allocate (resources, staff, etc); to set aside (money)
春	ceon 1 spring (season)
勤	kan 4 industrious; diligent; attentive
勞	lou 4 to toil; to do manual labour
忙	mong 4 busy; bustling
展	zin 2 to exhibit; to display
緣	jyun 4 lucky chance; fate; serendipity
預	jyu 6 beforehand
趁	can 3 to take advantage of (time, opportunity, etc); to avail oneself of
疫	jik 6 epidemic; plague; pestilence
症	zing 3 disease; illness
猖	coeng 1 rampant; running wild; unchecked; unrestrained
獗	kyut 3 rampant; running wild; unchecked; unrestrained
秋	cau 1 autumn; fall
邀	jiu 1 to solicit; to seek
約	joek 3 to make an appointment; to arrange
洛	lok 3 Luo River, a tributary of the Yellow River.
磯	gei 1 (of waves) to pound against a rock
瑙	nou 5 second part of Danube
休	jau 1 to rest; to relax
充	cung 1 to fill
電	din 6 electricity
親	can 1 intimate; bosom; closely acquainted; beloved; dear
暱	nik 1 intimate, close, familiar
豁	kut 3 open; clear; open-minded
免	min 5 to release; to set free
異	ji 6 to distinguish; to separate
扭	nau 2 to twist; to wring
曲	kuk 1 not straight; bent
溫	wan 1 warm (of temperature)
柔	jau 4 gentle; pliant
接	zip 3 to receive
尷	gaam 1 embarrassed
尬	gaai 3 embarrassed
吞	tan 1 to swallow
讀	duk 6 to read aloud; to read out
計	gai 3 to calculate; to count
提	tai 4 to carry; to lift
阻	zo 2 to impede, to hinder, to block, to obstruct
止	zi 2 to stop; to halt
台	toi 1 lines (of an actor or performer)
詞	ci 4 lines (of an actor or performer)
若	joek 6 if; supposing; assuming
誼	ji 4 friendship
恐	hung 2 to fear; to be afraid
易	ji 6 easy; simple; not difficult
洗	sai 2 to wash; to rinse
守	sau 2 to defend; to protect; to guard; to conserve; to watch
良	loeng 4 good
置	zi 3 to establish; to set up; to install
演	jin 2 to perform; to act; to put on
另	ling 6 in addition, besides
笨	ban 6 stupid; foolish; silly; slow-witted
搞	gaau 2 to do (usually bad things)
表	biu 2 external; outside; superficial
謬	mau 6 false; wrong; erroneous
題	tai 4 question; quiz; problem
狠	han 2 vicious, cruel
厚	hau 5 thick
皮	pei 4 skin; hide; fur; leather
謙	him 1 humble
拼	ping 3 to be ready to risk one's life; to go all out; to disregard
命	ming 6 life; existence; state of living
恙	joeng 6 illness; ailment
偶	ngau 5 idol
遇	jyu 6 to meet; to come across; to encounter
也	ya 4 also; too; as well
重	cung 5 heavy
要	jiu 1 to demand; to ask; to request
這	ze 2 this; these
樣	joeng 6 appearance; form; shape
豁	kut 3 open; clear; open-minded
達	daat 6 to thoroughly understand; to understand
又	jau 6 again; once more
專	zyun 1 specific
著	zyu 3 to write; to compose
書	syu 1 book
感	gam 2 feeling; thought; sensation; emotion
給	kap 1 for; for the benefit of
糟	zou 1 awful; messy; terrible; in bad shape
蹋	taap 3 to tread on; to stamp
都	dou 1 as well; also; too
活	wut 6 to live; to exist
該	goi 1 should; ought to; need to; have to
寬	fun 1 wide; broad
恕	syu 3 to forgive; to pardon; to show mercy
便	bin 6 then
痊	cyun 4 to recover (from illness)
癒	jyu 6 to heal; to get well; to recover
瘀	jyu 2 bruise
比	bei 2 to compare; to contrast
較	gaau 3 to compare
新	san 1 new; fresh
舊	gau 6 old; former; past
計	gai 3 to calculate; to count
贏	jing 4 to win; to triumph
或	waak 6 or
輸	syu 1 to lose; to be beaten; to be defeated
拒	keoi 5 to ward; to refuse; to resist
絕	zyut 6 to break off; to cut off; to sever
同	tung 4 together; with each other
住	zyu 6 to live; to dwell; to reside
苦	fu 2 bitter
某	mau 5 certain; particular (person or thing)
前	cin 4 past; previous; former
度	dou 6 degree; level; measure
道	dou 6 way; path; road
賀	ho 6 to congratulate
惜	sik 1 pity; regret
笑	siu 3 to laugh; to smile
得	dak 1 to get; to obtain; to gain, to acquire
寧	ning 4 peaceful; tranquil; serene; at peace
願	jyun 6 request, wish
破	po 3 to ruin; to destroy
卻	koek 3 but; yet; however
懦	no 6 cowardly; weak
弱	joek 6 weak; feeble
還	waan 4 to return to a place; to go back to a place
委	wai 2 to cast aside
屈	wat 1 to bend; to flex
努	nou 5 to exert; to strive; to make an effort
誰	seoi 4 who; whom
爭	zaang 1 to dispute; to fight
安	on 1 calm; peaceful; tranquil; quiet
慰	wai 3 to comfort; to console; to calm
獎	zoeng 2 prize; reward
非	fei 1 not be; is not; not
很	han 2 very; rather; quite
念	nim 6 to miss; to long for; to think of; to recall
善	sin 6 good, virtuous, charitable, kind
良	loeng 4 good
背	bui 3 to betray; to be disloyal
叛	bun 6 rebel; betray
法	fat 2 method; way; solution
扮	baan 6 to dress up, to disguise oneself
沒	mut 6 not have; there is not; to be without
原	jyun 4 to forgive; to pardon
諒	loeng 6 to forgive; to sympathise
偉	wai 5 extraordinary; magnificent; great; robust
如	jyu 4 to be like; as; as if; as though
像	zoeng 6 statue; figure; sculpture
那	naa 5 that; those
去	heoi 3 to leave; to depart from
失	sat 1 to lose; to lose track of; to mislay
戀	lyun 2 love
彷	fong 2 to imitate
似	ci 5 to be like; to be similar to; to resemble
臟	zong 6 internal organs; viscera
拳	kyun 4 fist
顧	gu 3 to regard; to concern
形	jing 4 form; shape; appearance
象	zoeng 6 symbol; emblem
繼	gai 3 to continue; to maintain; to carry on; to follow
續	zuk 6 to continue; to carry on
高	gou 1 tall; high
估	gu 2 to estimate (an amount)
勉	min 5 to endeavor; to make an effort; to strive
強	koeng 4 strong; powerful; energetic
開	hoi 1 to open; to unlatch; to unfasten
其	kei 4 that; those
實	sat 6 truth; fact; substance; reality
幫	bong 1 to help; to assist; to aid
助	zo 6 to help; to aid; to assist
只	zi 3 only; just; simply; merely
倒	dou 2 to fall; to fall over; to fall down
數	sou 2 to count; to enumerate
剩	sing 6 extra; leftover
餘	jyu 4 to remain; to have left
憶	jik 1 memory
痛	tung 3 to hurt; to cause pain
恨	han 6 to resent; to hate
而	ji 4 then
受	sau 6 to receive; to accept
傷	soeng 1 wound; injury
趁	can 3 to take advantage of
仍	jing 4 frequently; repeatedly
氣	hei 3 air; gas
能	nang 4 can; to be able to; to be capable of
夠	gau 3 to be enough; to be sufficient; to reach or achieve a desired level
證	zing 3 to prove; to testify; to verify
相	soeng 1 mutually; reciprocally; towards each other; one another
儲	cyu 4 to store; to reserve; to save money
蓄	cuk 1 to store up; to stockpile; to accumulate; to hoard
勒	lak 6 to rein in; to restrain
停	ting 4 to stop; to halt
仙	sin 1 fairy; celestial being
境	ging 2 place; area; region
逝	sai 6 to pass
煙	jin 1 smoke; mist; vapour
霞	haa 4 the light and clouds at sunrise and sunset; mist; rosy clouds
換	wun 6 to change; to swap; to switch; to substitute
號	hou 6 number
省	saang 2 to omit; to leave out
擔	daam 1 to bear; to shoulder; to undertake
濟	zai 3 to help; to aid; to relieve
奧	ou 3 difficult to understand
運	wan 6 to transport; to carry; to ship
突	dat 6 suddenly; abruptly; unexpectedly
件	gin 6 document; letter
擱	gok 3 to place; to put; to lay down
誤	ng 6 incorrect
韶	siu 4 splendid; beautiful
華	waa 4 brilliance; magnificence
毫	hou 4 fine hair
保	bou 2 to protect; to safeguard; to defend
壽	sau 6 old age; long life
侶	leoi 5 companion
京	ging 1 capital city
即	zik 1 even if; even though
使	si 2 if
熱	jit 6 hot; heated; having a high temperature
初	co 1 original; first; primary
正	zing 3 right; proper; correct
撮	cyut 3 to gather up; to collect together; to assemble
合	hap 6 to join; to combine; to unite; to bring together
隨	ceoi 4 to follow
浪	long 6 wave
費	fai 3 to lavish; to squander; to waste; to lose
景	ging 2 scenery; view
敬	ging 3 to respect; to honor
巧	haau 2 opportune; coincidental
側	zak 1 to lean to one side; to incline; to slant
把	baa 2 to hold; to grasp; to take
握	ak 1 to hold in the hand; to grip
錦	gam 2 bright and beautiful
繡	sau 3 with rich and bright colors
程	cing 4 rules; regulations
否	fau 2 nay; no; negative
掃	sou 3 to clean with a broom; to sweep clean
辯	bin 6 to debate; to argue; to discuss
證	zing 3 to prove; to testify; to verify
資	zi 1 qualifications; certificate
格	gaak 3 special property; personality; character
疑	ji 4 to doubt; to question
逆	jik 6 to oppose; to resist
拼	ping 1 to accompany; to follow
肯	hang 2 willing
憧	cung 1 to long for; to yearn for; to look forward to
憬	ging 2 to long for; to yearn for; to look forward to
簽	cim 1 to sign; to endorse
馨	hing 1 fragrant, aromatic
店	dim 3 shop; store
遊	jau 4 to wander; to roam
剩	sing 6 to be left; to remain
呂	leoi 5 (anatomy) spine
暖	nyun 5 warm; toasty
謂	wai 6 to say; to tell; to call
溶	jung 4 to dissolve
擦	caat 3 to wipe; to scour; to scrub
肩	gin 1 to shoulder
領	ling 5 to lead; to guide
料	liu 6 to anticipate; to predict; to foresee; to expect
聲	sing 1 sound; noise; voice
披	pei 1 to drape over one's shoulders; to wrap around
戴	daai 3 to put on; to wear
寒	hon 4 cold; wintry; chilly
送	sung 4 to see someone off
暖	nyun 5 warm; toasty
親	can 1 intimate; bosom; closely acquainted; beloved; dear
舒	syu 1 to open up; to unfold; to stretch out
亂	lyun 6 disorderly; chaotic
照	ziu 3 to shine upon; to illuminate
宣	syun 1 to declare; to announce; to proclaim
存	cyun 4 (literary) to exist
源	jyun 4 source; origin; root
行	haang 4 (Cantonese) to navigate
削	soek 3 (ciu 3?) to pare with a knife; to peel with a knife; to scrape off the surface; to slice
眷	gyun 3 relatives
斷	dyun 6 to break; to snap
條	tiu 4 strip; slip
件	gin 6 document; letter
擔	daam 1 to bear; to shoulder; to undertake
種	zung 2 kind; sort; type
辛	san 1 hard; laborious; toilsome
酸	syun 1 sour; tart
講	gong 2 (Cantonese) to say; to talk; to speak
謝	ze 6 to thank; to express gratitude to
完	jyun 4 whole; complete
尊	zyun 1 to respect; to revere; to venerate
界	gaai 3 boundary
雙	soeng 1 two; double; twin
令	ling 4 to make (someone do something); to cause; to allow
昨	zok 3 yesterday
閃	sim 2 to dodge; to evade
亮	loeng 6 bright; brilliant; radiant
激	gik 1 to excite; to arouse; to incite
慶	hing 3 to celebrate
祝	zuk 1 to wish
整	zing 2 to fix, to repair
球	kau 4 ball, globe, orb
億	jik 1 hundred million
影	jing 2 shadow
使	si 2 to order to do
奔	ban 1 to run fast; to rush about
向	hoeng 3 to face
唱	coeng 3 to sing
皺	zau 3 wrinkle; crease; fold
眉	mei 4 eyebrow
約	joek 3 to make an appointment; to arrange
死	sei 2 to die
嬉	hei 1 enjoy
戲	hei 3 to play; to amuse; to have fun
游	jau 4 to swim
嫌	jim 4 to be sick of; to be tired of; to be fed up with
煽	sin 3 to incite; to instigate; to provoke
奉	fung 6 to offer (tribute)
獻	hin 3 to offer, to present
憑	pang 4 to lean on
宜	ji 4 appropriate; suitable; proper
性	sing 3 sex; gender
俗	zuk 6 vulgar; unrefined; common; popular; vernacular
套	tou 3 case; cover; wrapper; envelope
歌	go 1 song; tune
詞	ci 4 word; term
惻	cak 1 sad; sorrowful; grieved
膚	fu 1 superficial; shallow
淺	cin 2 shallow; not deep
吧	baa 6 Emphatic final particle; used at the end of a sentence to
叫	giu 3 to be called
萬	maan 6 myriad, ten thousand
誓	sai 6 swear, pledge
摩	mo 1 to rub; to scour; to grind
輪	leon 4 wheel
呼	fu 1 to breathe out; to exhale; to sigh
漫	maan 4 overflow (of water), brim over, flood
血	hyut 3 blood
拋	paau 1 throw away, abandon, reject
銀	ngan 4 silver
河	ho 4 river, especially a smaller river, creek, or stream
垃	laap 6 garbage
圾	saap 3 garbage; rubbish; trash; waste; refuse; junk
捨	se 2 to abandon
丁	ding 1 robust; vigorous
贈	zang 6 to give as a present; to present with
眼	ngaan 5 eye
抱	pou 5 to hug; to embrace
渴	hot 3 thirsty
簡	gaan 2 simple; uncomplicated
算	syun 3 to count; to calculate; to figure
作	zok 3 to compose; to write
棄	hei 3 to abandon; to discard; to reject
附	fu 6 to add; to augment; to increase; to raise; to boost
賣	maai 6 to sell
首	sau 2 classifier for songs and poems.
峰	fung 1 peak; summit
容	jung 4 to allow; to permit
浸	zam 3 to soak; to sit in water (or liquid)
呵	ho 1 to shout; to cry out
欠	him 3 to yawn
絕	zyut 6 to break off; to cut off; to sever
溶	jung 4 to dissolve; to disintegrate chemically into a solution by immersion into a liquid or gas
小	siu 2 small, tiny, little
姑	gu 1 woman
娘	noeng 4 woman, especially a young girl
清	cinq 1 clear; clean
早	zou 2 early
起	hei 2 to rise; to go up; to move up
床	cong 4 bed
提	tai 4 to carry; to lift
著	zoek 3 Particle indicating the continuation of an action or a state
花	faa 1 flower
籃	laam 4 basket
上	soeng 6 on; above
市	si 5 market
場	coeng 4 field; market
穿	cyun 1 to pass through; to cross
過	gwo 3 to cross; to pass; to go across; to pass through
大	daai 6 of great size; big; large; huge
街	gaai 1 street
走	zau 2 to go; to walk; to go on foot
盡	zeon 6 to end; to finish
巷	hong 6 alley; lane; tunnel
賣	maai 6 to sell
聲	sing 1 sound; noise; voice
唱	coeng 3 to sing
兒	ji 4 child
真	zan 1 true; genuine; real; actua
美	mei 5 beautiful; pretty; attractive; good-looking
香	hoeng 1 fragrant; fragrance
沒	mut 6 not have; there is not; to be without
有	jau 5 to have; to possess
人	jan 4 person; people
買	maai 5 to buy
怎	zam 2 how; why
麼	mo 1 A suffix for forming pronouns or adverbs
樣	joeng 6 appearance; form; shape
满	mun 6 full
空	hung 1  empty; hollow; void
錢	cin 4 cash; money
囊	nong 4 bag; sack; pouch; pocket
回	wui 4 to return; to go back
家	gaa 1 family; household
見	gin 3 to see
爹	de 1 father; dad
假	gaa 2 to disguise; to fake; to pretend
設	cit 3 to plan; to design
切	cai 3 all; every; everything; anything
做	zou 6 to do; to perform
接	zip 3 to come near to; to be close to; to come into contact
觸	zuk 1 to touch; to come in contact with
騎	ke 4 to ride (a horse, bike, etc.)
倆	loeng 5 two; pair
懷	waai 4 to miss; to long for
緊	gan 2 tense; tight; taut; tightly
貼	tip 3 to paste to; to stick on
背	bui3 (anatomy) back
抱	pou 5 to heft in the arms; to carry
捨	se 2 to abandon
些	se 1 a little; a bit (a small amount)
茫	mong 4 vast; boundless; widespread
荒	fong 1 wasteland, desert
野	je 5 countryside; field; outskirts; wilderness
孩	haai 4 child; youngster; baby
兒	ji 4 child
伏	fuk 6 to wait for
爸	baa 1 (colloquial) father; dad
肩	gin 1 shoulders
膊	bok 3 arm; upper arm
總	zung 2 overall; altogether
常	soeng 4 normal; general; common
推	teoi 1 to push
卸	se 3 to unload; to remove
任	jam 6 no matter how; regardless of
間	gaan 1 within a definite time period or place
冷	laang 5 cold; cool
酷	huk 6 cruel; brutal; savage
幸	hang 6 fortunate; lucky
福	fuk 1 blessing; happiness; prosperity
雖	seoi 1 although; even if; despite
演	jin 2 to perform; to act; to put on
色	sik 1 theatrical role
虛	heoi 1 empty; hollow
待	doi 6 to wait
套	tou 3 Classifier for a set of objects (books, furniture, rooms, etc).
疼	tung 4 painful; aching; sore
便	bin 6 convenient; handy
哪	naa 5 any
遙	jiu 4 distant; far away
斜	ce 4 tilted; sloping; inclined; oblique; slanting
朝	ziu 1 morning
